frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
102,6.0,[946.854357927424 1418.1360244797804 1675.000199108929 1980.5133024036893],[1209.3094482421875 1773.0977783203125 1410.6689453125 1856.2056884765625],0.5975236296653748,GX15OGJ,0.42831682365435303
103,6.0,[946.1561605777742 1424.6846685644932 1673.7440451225825 1988.6862122087673],[1209.9383544921875 1785.591796875 1409.098876953125 1857.3046875],0.4307631254196167,GX15OGJ,0.040109747580663754
106,6.0,[944.7375177447038 1442.66657019263 1672.9291904330948 2010.0377473718945],[1180.6923828125 1792.424560546875 1385.7886962890625 1885.26708984375],0.5754561424255371,GX15OCJ,0.3560818335047789
107,6.0,[939.5171718344271 1450.5823107524805 1670.7035519538945 2019.5556860337872],[1193.693359375 1808.0621337890625 1390.488525390625 1894.5450439453125],0.5621403455734253,GX15OCJ,0.3283173754773232
108,6.0,[935.0362348088195 1459.3441735110346 1668.5122114293824 2031.2980289199982],[1192.3271484375 1817.8433837890625 1395.1846923828125 1903.7110595703125],0.5834106206893921,GX15OCJ,0.5519954739423988
109,6.0,[929.846667686231 1463.2393579126674 1664.9874835028218 2038.830065033646],[1168.4615478515625 1820.630126953125 1394.8092041015625 1913.483642578125],0.6031327247619629,GX15OGJ,0.36708652708311984
110,6.0,[927.6148871929066 1469.4652812827567 1664.0469433666226 2047.7660012411552],[1181.051513671875 1831.5238037109375 1385.91357421875 1925.4085693359375],0.6219127774238586,GX15OGJ,0.4574217975358287
111,6.0,[925.9899987717017 1477.4404344685602 1661.787490564483 2057.2511430198974],[1181.323974609375 1839.2581787109375 1380.9498291015625 1931.2928466796875],0.6106206774711609,GX15OCJ,0.36737263445233137
112,6.0,[924.5871221919265 1483.091631648061 1662.1378388824492 2064.0570804505896],[1164.18017578125 1840.364501953125 1385.2529296875 1935.447509765625],0.5715147852897644,GX15OCJ,0.5545182122136469
113,6.0,[919.8487834811871 1491.0334444688108 1658.6896648407255 2075.347242891897],[1168.127197265625 1861.5787353515625 1384.998046875 1944.3533935546875],0.47543880343437195,GX15OCJ,0.4515982155712611
114,6.0,[911.2618801423678 1498.2882415160998 1657.4470509377384 2087.141339393716],[1161.2750244140625 1866.4010009765625 1381.6573486328125 1962.3035888671875],0.6095503568649292,GX15OCJ,0.3315101958596592
115,6.0,[905.7170813972168 1503.8949981317487 1656.6598268091004 2095.1625961136897],[1160.0126953125 1871.0892333984375 1383.16259765625 1963.3238525390625],0.5740822553634644,GX15OCJ,0.4598415011891596
116,6.0,[900.1914658313515 1510.1642608442337 1654.2489958688818 2101.56142183829],[1155.6259765625 1882.97314453125 1381.6820068359375 1974.2783203125],0.6251022815704346,GX15OGJ,0.41969364471268206
117,6.0,[896.6283222330541 1517.9121666568844 1652.2410569252215 2109.0132128094456],[1147.5897216796875 1888.5208740234375 1381.9742431640625 1984.7772216796875],0.5725323557853699,GX15OGJ,0.2737588930281228
119,6.0,[892.0041387125539 1529.0341969728302 1652.2634327990645 2116.757469419649],[1151.6510009765625 1909.2528076171875 1368.484130859375 1999.256103515625],0.6070481538772583,GX15OGJ,0.39714882737612434
120,6.0,[883.1741234578013 1536.1904990009762 1649.8298918073097 2123.615538073423],[1146.30078125 1914.317138671875 1373.9697265625 2010.7353515625],0.6341437101364136,GX15OCJ,0.5037570803235988
121,6.0,[876.7923734507267 1542.7036457554027 1648.4436949438937 2130.7561981094204],[1143.736083984375 1920.30517578125 1376.8848876953125 2014.4342041015625],0.6111723184585571,GX15OGJ,0.43907741269532546
121,1.0,[2051.027268965054 1162.922879704958 2587.868854514532 1625.2962631563175],[2219.5244140625 1444.1788330078125 2435.157470703125 1534.49560546875],0.35819655656814575,AP05JEO,0.18611110170902367
122,6.0,[872.7545754037546 1551.2472479566825 1647.4642478192163 2140.363395850947],[1139.3572998046875 1932.1124267578125 1363.5203857421875 2021.3514404296875],0.5904514193534851,GX15OGJ,0.5152476738088314
